iter	RMSE
0	99.35892475
1	98.9102455
2	98.47740188
3	98.09809455
4	97.60940329
5	97.16810616
6	96.75284456
7	96.28357089
8	95.78961838
9	95.47542137
10	95.07728855
11	94.73194151
12	94.25180183
13	93.757893
14	93.1940139
15	92.83039668
16	92.55546274
17	92.12109219
18	91.66587793
19	91.20242347
20	90.88676653
21	90.58195866
22	90.27901682
23	89.9288226
24	89.60547836
25	89.26723075
26	88.91813248
27	88.54363697
28	88.13634172
29	87.84740157
30	87.50335031
31	87.11988601
32	86.78243585
33	86.41438438
34	85.98642347
35	85.64583239
36	85.31320527
37	84.92256786
38	84.55582049
39	84.2754312
40	83.92277944
41	83.61091024
42	83.37886515
43	83.01438135
44	82.64093014
45	82.26543118
46	81.86067925
47	81.50809338
48	81.10187269
49	80.72171179
50	80.46709501
51	80.13175009
52	79.89389674
53	79.56274564
54	79.26335471
55	78.94331928
56	78.59921696
57	78.30584767
58	77.9138164
59	77.59503745
60	77.26814433
61	76.94936011
62	76.6145648
63	76.23192081
64	75.89095674
65	75.5808772
66	75.21651673
67	74.95827875
68	74.587773
69	74.29187496
70	73.94262539
71	73.70674315
72	73.3163205
73	73.05062079
74	72.73596932
75	72.37029071
76	72.09399464
77	71.80875798
78	71.51878092
79	71.22683258
80	70.94423012
81	70.57051605
82	70.28406671
83	69.98094621
84	69.69005812
85	69.3913888
86	69.10683243
87	68.80162963
88	68.50650046
89	68.23910054
90	67.96398358
91	67.64626223
92	67.37298118
93	67.09701883
94	66.78325327
95	66.50534134
96	66.28732075
97	65.96973922
98	65.68666162
99	65.50135281
