iter	Passed	Remaining
0	145	14384
1	146	7178
2	147	4769
3	148	3564
4	149	2841
5	150	2359
6	151	2013
7	152	1755
8	153	1554
9	154	1393
10	158	1279
11	160	1179
12	161	1084
13	162	1001
14	163	928
15	164	864
16	165	807
17	166	757
18	167	713
19	168	672
20	169	635
21	170	602
22	171	572
23	172	545
24	173	519
25	173	494
26	174	472
27	175	451
28	176	432
29	177	413
30	178	396
31	179	380
32	179	365
33	180	350
34	181	337
35	182	324
36	183	312
37	185	301
38	186	292
39	187	281
40	188	271
41	189	261
42	190	252
43	191	243
44	191	234
45	192	226
46	193	218
47	194	210
48	195	203
49	196	196
50	196	189
51	197	182
52	201	179
53	202	172
54	203	166
55	204	160
56	206	156
57	207	150
58	208	145
59	209	139
60	210	134
61	212	129
62	213	125
63	215	121
64	216	116
65	217	112
66	218	107
67	220	103
68	221	99
69	222	95
70	224	91
71	225	87
72	225	83
73	226	79
74	227	75
75	228	72
76	229	68
77	230	65
78	233	62
79	234	58
80	235	55
81	236	51
82	237	48
83	238	45
84	239	42
85	240	39
86	240	35
87	241	32
88	242	29
89	243	27
90	246	24
91	247	21
92	248	18
93	249	15
94	249	13
95	250	10
96	251	7
97	252	5
98	253	2
99	253	0
